Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN,ECRS
01/02/2025,11:00,N,0.79,1.5,1,1,1
01/02/2025,12:00,N,0.79,1.25,0.5,0.97,0.34
01/02/2025,13:00,N,0.98,1.25,0.5,0.96,0.06
01/02/2025,14:00,N,0.98,1.25,0.5,0.92,0.24
01/02/2025,15:00,N,0.98,1.25,0.5,0.9,0.5
01/02/2025,16:00,N,0.98,1.25,0.5,0.58,0.24
01/02/2025,17:00,N,4.13,1,1,1,1
01/02/2025,18:00,N,4.9,1.55,2.23,1.49,2.23
01/02/2025,19:00,N,4.95,1.65,2.06,2.06,0.12
01/02/2025,20:00,N,4.13,2.94,2.94,2.94,0.13
01/02/2025,21:00,N,1.53,2.31,0.81,1.06,0.13
01/02/2025,22:00,N,0.5,1.5,0.75,1,0.1
01/02/2025,23:00,N,0.5,0.94,0.5,0.5,0.1
01/02/2025,24:00,N,1.53,1.21,0.5,0.5,0.04
01/03/2025,01:00,N,0.24,0.56,0.3,0.1,0.02
01/03/2025,02:00,N,0.24,0.86,0.3,0.09,0.03
01/03/2025,03:00,N,0.24,0.86,0.3,0.3,0.02
01/03/2025,04:00,N,0.24,0.52,0.31,0.31,0.02
01/03/2025,05:00,N,0.5,1.06,0.31,0.31,0.03
01/03/2025,06:00,N,0.79,0.72,0.3,0.3,0.05
01/03/2025,07:00,N,4.13,1.65,1.07,1.07,0.11
01/03/2025,08:00,N,3.92,1.66,1.66,1.48,0.12
01/03/2025,09:00,N,3.96,1.65,1.65,1.48,1.65
01/03/2025,10:00,N,0.79,1.75,1,1,1
01/03/2025,11:00,N,0.74,1.54,0.79,0.79,0.79
01/03/2025,12:00,N,0.79,1.25,0.5,0.5,0.5
01/03/2025,13:00,N,0.5,1.24,0.49,0.49,0.06
01/03/2025,14:00,N,0.5,1.25,0.5,0.5,0.5
01/03/2025,15:00,N,0.5,1.25,0.5,0.5,0.5
01/03/2025,16:00,N,0.79,1.19,0.44,0.44,0.44
01/03/2025,17:00,N,1.99,0.8,0.8,0.8,0.8
01/03/2025,18:00,N,3.02,1.29,1.65,1.02,1.65
01/03/2025,19:00,N,3.13,0.88,1.09,1.07,0.15
01/03/2025,20:00,N,2.09,1.96,1.1,1.1,0.04
01/03/2025,21:00,N,1.53,1.75,0.75,0.99,0.04
01/03/2025,22:00,N,1.53,1.98,0.73,0.97,0.04
01/03/2025,23:00,N,0.5,2.49,0.5,0.23,0.04
01/03/2025,24:00,N,1.53,2,0.5,0.23,0.04
01/04/2025,01:00,N,0.29,1.1,0.29,0.08,0.03
01/04/2025,02:00,N,0.24,0.66,0.29,0.08,0.04
01/04/2025,03:00,N,0.24,0.64,0.29,0.25,0.03
01/04/2025,04:00,N,0.29,0.73,0.35,0.24,0.03
01/04/2025,05:00,N,0.29,0.8,0.3,0.24,0.04
01/04/2025,06:00,N,0.29,0.67,0.3,0.25,0.04
01/04/2025,07:00,N,0.24,0.95,0.5,0.63,0.1
01/04/2025,08:00,N,1.34,0.61,0.78,0.8,0.11
01/04/2025,09:00,N,2.13,0.81,0.81,0.81,0.81
01/04/2025,10:00,N,0.29,1.06,0.81,0.81,0.81
01/04/2025,11:00,N,0.29,0.88,0.5,0.5,0.5
01/04/2025,12:00,N,0.29,0.75,0.37,0.37,0.37
01/04/2025,13:00,N,0.29,0.67,0.3,0.3,0.3
01/04/2025,14:00,N,0.29,0.67,0.3,0.3,0.3
01/04/2025,15:00,N,0.29,0.78,0.4,0.4,0.4
01/04/2025,16:00,N,0.98,0.75,0.37,0.37,0.37
01/04/2025,17:00,N,0.51,0.58,0.58,0.58,0.58
01/04/2025,18:00,N,3.46,0.96,0.81,0.94,0.81
01/04/2025,19:00,N,1.99,0.63,0.63,0.95,0.14
01/04/2025,20:00,N,2.03,0.67,0.95,0.95,0.15
01/04/2025,21:00,N,0.29,0.5,0.5,0.75,0.16
01/04/2025,22:00,N,0.29,1.13,0.5,0.75,0.04
01/04/2025,23:00,N,0.29,1.29,0.29,0.1,0.04
01/04/2025,24:00,N,0.29,1.04,0.29,0.1,0.04
