Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/01/2024,19:00,N,HB_SOUTH,27.26
01/01/2024,19:00,N,HB_WEST,37.64
01/01/2024,19:00,N,LZ_AEN,28.77
01/01/2024,19:00,N,LZ_CPS,30.14
01/01/2024,19:00,N,LZ_HOUSTON,27.6
01/01/2024,19:00,N,LZ_LCRA,29.21
01/01/2024,19:00,N,LZ_NORTH,26.95
01/01/2024,19:00,N,LZ_RAYBN,26.84
01/01/2024,19:00,N,LZ_SOUTH,24.79
01/01/2024,19:00,N,LZ_WEST,55.14
01/01/2024,20:00,N,HB_BUSAVG,24.63
01/01/2024,20:00,N,HB_HOUSTON,23.92
01/01/2024,20:00,N,HB_HUBAVG,25.99
01/01/2024,20:00,N,HB_NORTH,23.2
01/01/2024,20:00,N,HB_PAN,16.14
01/01/2024,20:00,N,HB_SOUTH,23.95
01/01/2024,20:00,N,HB_WEST,32.9
01/01/2024,20:00,N,LZ_AEN,25.04
01/01/2024,20:00,N,LZ_CPS,26.4
01/01/2024,20:00,N,LZ_HOUSTON,23.92
01/01/2024,20:00,N,LZ_LCRA,25.47
01/01/2024,20:00,N,LZ_NORTH,23.18
01/01/2024,20:00,N,LZ_RAYBN,23.04
01/01/2024,20:00,N,LZ_SOUTH,22.35
01/01/2024,20:00,N,LZ_WEST,49.4
01/01/2024,21:00,N,HB_BUSAVG,24.65
01/01/2024,21:00,N,HB_HOUSTON,24.09
01/01/2024,21:00,N,HB_HUBAVG,25.94
01/01/2024,21:00,N,HB_NORTH,23.26
01/01/2024,21:00,N,HB_PAN,15.3
01/01/2024,21:00,N,HB_SOUTH,24.12
01/01/2024,21:00,N,HB_WEST,32.31
01/01/2024,21:00,N,LZ_AEN,25.34
01/01/2024,21:00,N,LZ_CPS,26.77
01/01/2024,21:00,N,LZ_HOUSTON,24.09
01/01/2024,21:00,N,LZ_LCRA,25.75
01/01/2024,21:00,N,LZ_NORTH,23.23
01/01/2024,21:00,N,LZ_RAYBN,23.07
01/01/2024,21:00,N,LZ_SOUTH,22.16
01/01/2024,21:00,N,LZ_WEST,47.38
01/01/2024,22:00,N,HB_BUSAVG,22.68
01/01/2024,22:00,N,HB_HOUSTON,22.18
01/01/2024,22:00,N,HB_HUBAVG,23.87
01/01/2024,22:00,N,HB_NORTH,21.37
01/01/2024,22:00,N,HB_PAN,13.03
01/01/2024,22:00,N,HB_SOUTH,22.39
01/01/2024,22:00,N,HB_WEST,29.52
01/01/2024,22:00,N,LZ_AEN,23.26
01/01/2024,22:00,N,LZ_CPS,24.57
01/01/2024,22:00,N,LZ_HOUSTON,22.19
01/01/2024,22:00,N,LZ_LCRA,23.64
01/01/2024,22:00,N,LZ_NORTH,21.33
01/01/2024,22:00,N,LZ_RAYBN,21.19
01/01/2024,22:00,N,LZ_SOUTH,21.21
01/01/2024,22:00,N,LZ_WEST,43.52
01/01/2024,23:00,N,HB_BUSAVG,21.64
01/01/2024,23:00,N,HB_HOUSTON,21.25
01/01/2024,23:00,N,HB_HUBAVG,22.73
01/01/2024,23:00,N,HB_NORTH,20.38
01/01/2024,23:00,N,HB_PAN,11.17
01/01/2024,23:00,N,HB_SOUTH,21.59
01/01/2024,23:00,N,HB_WEST,27.7
01/01/2024,23:00,N,LZ_AEN,22.29
01/01/2024,23:00,N,LZ_CPS,23.52
01/01/2024,23:00,N,LZ_HOUSTON,21.27
01/01/2024,23:00,N,LZ_LCRA,22.66
01/01/2024,23:00,N,LZ_NORTH,20.34
01/01/2024,23:00,N,LZ_RAYBN,20.18
01/01/2024,23:00,N,LZ_SOUTH,20.59
01/01/2024,23:00,N,LZ_WEST,39.98
01/01/2024,24:00,N,HB_BUSAVG,20.74
01/01/2024,24:00,N,HB_HOUSTON,20.22
01/01/2024,24:00,N,HB_HUBAVG,22.01
01/01/2024,24:00,N,HB_NORTH,19.3
01/01/2024,24:00,N,HB_PAN,11.34
01/01/2024,24:00,N,HB_SOUTH,20.58
01/01/2024,24:00,N,HB_WEST,27.94
01/01/2024,24:00,N,LZ_AEN,21.27
01/01/2024,24:00,N,LZ_CPS,22.53
01/01/2024,24:00,N,LZ_HOUSTON,20.23
01/01/2024,24:00,N,LZ_LCRA,21.65
01/01/2024,24:00,N,LZ_NORTH,19.27
01/01/2024,24:00,N,LZ_RAYBN,19.12
01/01/2024,24:00,N,LZ_SOUTH,19.64
01/01/2024,24:00,N,LZ_WEST,42.61
01/02/2024,01:00,N,HB_BUSAVG,19.68
01/02/2024,01:00,N,HB_HOUSTON,19.24
01/02/2024,01:00,N,HB_HUBAVG,20.48
01/02/2024,01:00,N,HB_NORTH,18.89
01/02/2024,01:00,N,HB_PAN,12.53
01/02/2024,01:00,N,HB_SOUTH,19.1
01/02/2024,01:00,N,HB_WEST,24.67
01/02/2024,01:00,N,LZ_AEN,19.84
01/02/2024,01:00,N,LZ_CPS,20.64
01/02/2024,01:00,N,LZ_HOUSTON,19.23
01/02/2024,01:00,N,LZ_LCRA,20.13
01/02/2024,01:00,N,LZ_NORTH,18.88
01/02/2024,01:00,N,LZ_RAYBN,18.8
01/02/2024,01:00,N,LZ_SOUTH,18.29
01/02/2024,01:00,N,LZ_WEST,36.47
01/02/2024,02:00,N,HB_BUSAVG,18.86
01/02/2024,02:00,N,HB_HOUSTON,18.49
01/02/2024,02:00,N,HB_HUBAVG,19.64
01/02/2024,02:00,N,HB_NORTH,18.08
01/02/2024,02:00,N,HB_PAN,11.46
01/02/2024,02:00,N,HB_SOUTH,18.37
01/02/2024,02:00,N,HB_WEST,23.63
01/02/2024,02:00,N,LZ_AEN,19.2
01/02/2024,02:00,N,LZ_CPS,20.13
01/02/2024,02:00,N,LZ_HOUSTON,18.49
01/02/2024,02:00,N,LZ_LCRA,19.52
01/02/2024,02:00,N,LZ_NORTH,18.06
01/02/2024,02:00,N,LZ_RAYBN,17.96
01/02/2024,02:00,N,LZ_SOUTH,17.4
01/02/2024,02:00,N,LZ_WEST,34.08
01/02/2024,03:00,N,HB_BUSAVG,19.34
01/02/2024,03:00,N,HB_HOUSTON,18.94
